IP:PORT, LOSS, DELAY
188.114.96.52:4233,0.00%,242 ms
162.159.192.58:988,0.00%,242 ms
162.159.192.251:894,0.00%,242 ms
188.114.97.47:1010,0.00%,242 ms
162.159.195.77:4177,0.00%,242 ms
188.114.96.112:891,0.00%,242 ms
188.114.96.56:4233,0.00%,242 ms
188.114.96.21:3476,0.00%,242 ms
188.114.97.3:1387,0.00%,242 ms
188.114.96.11:3476,0.00%,242 ms
162.159.195.53:943,0.00%,242 ms
162.159.192.100:987,0.00%,242 ms
188.114.97.25:1010,0.00%,242 ms
188.114.97.3:1010,0.00%,242 ms
162.159.192.119:1014,0.00%,242 ms
162.159.192.144:891,0.00%,242 ms
188.114.97.26:1010,0.00%,242 ms
162.159.192.223:1010,0.00%,242 ms
188.114.96.111:943,0.00%,242 ms
162.159.192.178:934,0.00%,242 ms
162.159.192.147:891,0.00%,242 ms
162.159.195.101:894,0.00%,242 ms
188.114.97.63:987,0.00%,242 ms
162.159.192.109:987,0.00%,242 ms
188.114.96.135:4233,0.00%,242 ms
188.114.96.60:968,0.00%,242 ms
188.114.99.35:878,0.00%,242 ms
188.114.97.25:1387,0.00%,242 ms
188.114.97.90:908,0.00%,242 ms
162.159.192.226:1010,0.00%,242 ms
162.159.192.143:891,0.00%,242 ms
188.114.97.2:1387,0.00%,242 ms
188.114.99.249:1701,0.00%,242 ms
162.159.192.52:942,0.00%,242 ms
188.114.97.76:987,0.00%,242 ms
188.114.97.71:987,0.00%,242 ms
188.114.99.56:894,0.00%,242 ms
188.114.97.59:988,0.00%,242 ms
188.114.99.248:8886,0.00%,242 ms
162.159.192.99:942,0.00%,242 ms
162.159.192.114:500,0.00%,242 ms
188.114.99.27:4177,0.00%,242 ms
188.114.96.50:4233,0.00%,242 ms
188.114.99.241:8886,0.00%,242 ms
162.159.192.122:891,0.00%,242 ms
188.114.99.57:894,0.00%,242 ms
162.159.195.52:943,0.00%,242 ms
188.114.99.45:894,0.00%,242 ms
162.159.192.59:942,0.00%,242 ms
188.114.98.255:5279,0.00%,242 ms
188.114.99.5:854,0.00%,242 ms
188.114.97.4:1387,0.00%,242 ms
162.159.192.57:942,0.00%,242 ms
188.114.96.121:891,0.00%,242 ms
188.114.96.33:4233,0.00%,242 ms
188.114.99.14:854,0.00%,242 ms
188.114.99.51:894,0.00%,242 ms
188.114.98.96:939,0.00%,242 ms
162.159.192.138:891,0.00%,242 ms
188.114.96.65:1387,0.00%,242 ms
188.114.99.73:894,0.00%,242 ms
162.159.192.192:942,0.00%,242 ms
162.159.192.63:988,0.00%,242 ms
188.114.97.89:908,0.00%,242 ms
162.159.192.177:942,0.00%,242 ms
188.114.99.13:4177,0.00%,242 ms
188.114.99.22:4177,0.00%,242 ms
188.114.99.23:4177,0.00%,242 ms
162.159.192.59:988,0.00%,242 ms
188.114.96.40:4177,0.00%,242 ms
188.114.97.80:987,0.00%,242 ms
188.114.99.250:8886,0.00%,242 ms
162.159.192.108:500,0.00%,242 ms
188.114.96.27:4177,0.00%,242 ms
188.114.97.92:908,0.00%,242 ms
162.159.192.131:1014,0.00%,242 ms
188.114.99.62:500,0.00%,242 ms
188.114.97.73:987,0.00%,242 ms
162.159.192.99:988,0.00%,242 ms
162.159.192.189:942,0.00%,242 ms
162.159.192.239:1074,0.00%,242 ms
188.114.97.120:968,0.00%,242 ms
162.159.192.115:891,0.00%,242 ms
188.114.97.24:1387,0.00%,242 ms
